bowler,total_batter_runs_conceded_mean,total_runs_from_relevant_extras_mean,total_total_runs_conceded_mean,total_taken_from_relevant_wickets_mean,powerplay_batter_runs_conceded_mean,powerplay_runs_from_relevant_extras_mean,powerplay_total_runs_conceded_mean,powerplay_taken_from_relevant_wickets_mean,non_powerplay_batter_runs_conceded_mean,non_powerplay_runs_from_relevant_extras_mean,non_powerplay_total_runs_conceded_mean,non_powerplay_taken_from_relevant_wickets_mean
0813a8b1,1.053763440860215,0.15053763440860216,1.2258064516129032,0.010752688172043012,1.3333333333333333,0.08333333333333333,1.5,0.0,1.0123456790123457,0.16049382716049382,1.1851851851851851,0.012345679012345678
08320616,0.7647058823529411,0.0392156862745098,0.8431372549019608,0.0392156862745098,,,,,0.7647058823529411,0.0392156862745098,0.8431372549019608,0.0392156862745098
0848ac5f,0.844689378757515,0.04909819639278557,0.908817635270541,0.05711422845691383,0.9294871794871795,0.04487179487179487,0.9807692307692307,0.0641025641025641,0.828978622327791,0.0498812351543943,0.8954869358669834,0.055819477434679333
085071f2,0.967741935483871,0.03225806451612903,1.0,0.03225806451612903,1.5,0.0,1.5,0.0,0.631578947368421,0.05263157894736842,0.6842105263157895,0.05263157894736842
08548b13,1.313953488372093,0.023255813953488372,1.3372093023255813,0.023255813953488372,1.3333333333333333,0.0,1.3333333333333333,0.0,1.3125,0.025,1.3375,0.025
086f5984,1.4822695035460993,0.02127659574468085,1.5319148936170213,0.03546099290780142,1.4666666666666666,0.016666666666666666,1.4833333333333334,0.016666666666666666,1.4938271604938271,0.024691358024691357,1.5679012345679013,0.04938271604938271
0877eba5,0.7181208053691275,0.087248322147651,0.825503355704698,0.026845637583892617,0.35555555555555557,0.08888888888888889,0.4444444444444444,0.0,0.875,0.08653846153846154,0.9903846153846154,0.038461538461538464
0894ec27,0.7570093457943925,0.14953271028037382,0.9158878504672897,0.009345794392523364,0.6666666666666666,0.07017543859649122,0.7368421052631579,0.0,0.86,0.24,1.12,0.02
089ebf89,0.4305555555555556,0.08333333333333333,0.5416666666666666,0.08333333333333333,0.5476190476190477,0.047619047619047616,0.6190476190476191,0.047619047619047616,0.26666666666666666,0.13333333333333333,0.43333333333333335,0.13333333333333333
08c8c151,0.5,0.3,0.8,0.0,,,,,0.5,0.3,0.8,0.0
