batter,total_runs_batter_mean,total_high_scoring_hit_mean,total_total_mean,total_is_wicket_mean,powerplay_runs_batter_mean,powerplay_high_scoring_hit_mean,powerplay_total_mean,powerplay_is_wicket_mean,non_powerplay_runs_batter_mean,non_powerplay_high_scoring_hit_mean,non_powerplay_total_mean,non_powerplay_is_wicket_mean
01c05b6c,1.175,0.125,1.2625,0.125,,,,,1.175,0.125,1.2625,0.125
01c1b96c,0.5647058823529412,0.047058823529411764,0.6294117647058823,0.08823529411764706,0.0,0.0,0.0,0.5,0.5714285714285714,0.047619047619047616,0.6369047619047619,0.08333333333333333
01fa12c1,0.5185185185185185,0.018518518518518517,0.5925925925925926,0.05555555555555555,0.38235294117647056,0.0,0.47058823529411764,0.029411764705882353,0.75,0.05,0.8,0.1
0207451a,0.0,0.0,0.0,0.5,,,,,0.0,0.0,0.0,0.5
020e49e9,0.7142857142857143,0.05357142857142857,1.0,0.017857142857142856,0.47619047619047616,0.047619047619047616,1.0952380952380953,0.0,0.8571428571428571,0.05714285714285714,0.9428571428571428,0.02857142857142857
021b4be9,0.4583333333333333,0.06944444444444445,0.6944444444444444,0.06944444444444445,0.48214285714285715,0.07142857142857142,0.6964285714285714,0.05357142857142857,0.375,0.0625,0.6875,0.125
02264be0,0.6274509803921569,0.03529411764705882,0.7764705882352941,0.11372549019607843,1.0,0.0,1.0,0.0,0.6245059288537549,0.03557312252964427,0.7747035573122529,0.11462450592885376
0226b73a,0.5,0.0,0.5,0.0,,,,,0.5,0.0,0.5,0.0
022745d5,0.6183206106870229,0.030534351145038167,0.6679389312977099,0.07251908396946564,0.2,0.0,0.2,0.08571428571428572,0.6828193832599119,0.03524229074889868,0.7400881057268722,0.07048458149779736
023c40b8,0.2,0.0,0.3,0.2,,,,,0.2,0.0,0.3,0.2
023f6b02,0.64,0.04,0.64,0.08,,,,,0.64,0.04,0.64,0.08
024a173d,0.6363636363636364,0.09090909090909091,0.6363636363636364,0.0,,,,,0.6363636363636364,0.09090909090909091,0.6363636363636364,0.0
024fe464,0.9384615384615385,0.12307692307692308,1.0153846153846153,0.12307692307692308,0.5714285714285714,0.14285714285714285,0.7142857142857143,0.0,0.9827586206896551,0.1206896551724138,1.0517241379310345,0.13793103448275862
02610bad,0.7488789237668162,0.07286995515695067,0.8766816143497758,0.03587443946188341,0.6975717439293598,0.07505518763796909,0.8565121412803532,0.033112582781456956,0.8018223234624146,0.07061503416856492,0.89749430523918,0.0387243735763098
026b815f,0.6666666666666666,0.0,0.75,0.16666666666666666,,,,,0.6666666666666666,0.0,0.75,0.16666666666666666
026e1314,1.1451612903225807,0.12903225806451613,1.2741935483870968,0.12903225806451613,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,1.1864406779661016,0.13559322033898305,1.3220338983050848,0.11864406779661017
027662be,0.9583333333333334,0.125,1.125,0.07291666666666667,1.3333333333333333,0.2222222222222222,1.4444444444444444,0.16666666666666666,0.8717948717948718,0.10256410256410256,1.0512820512820513,0.05128205128205128
02789d88,1.0,0.1511627906976744,1.0348837209302326,0.09302325581395349,0.9047619047619048,0.14285714285714285,0.9523809523809523,0.11904761904761904,1.0909090909090908,0.1590909090909091,1.1136363636363635,0.06818181818181818
